Local time,Open,High,Low,Close,Volume
13.10.2021 20:00:00.000 GMT+0800,1.15643,1.15643,1.15361,1.15427,8780.33
13.10.2021 21:00:00.000 GMT+0800,1.15426,1.15706,1.15403,1.15645,9198.65
13.10.2021 22:00:00.000 GMT+0800,1.15643,1.15745,1.1557,1.15736,7264.51
13.10.2021 23:00:00.000 GMT+0800,1.15734,1.15786,1.15672,1.15675,4094.39
14.10.2021 00:00:00.000 GMT+0800,1.15678,1.15785,1.15667,1.15779,2470.29
14.10.2021 01:00:00.000 GMT+0800,1.15779,1.15932,1.15777,1.1589,2698.65
14.10.2021 02:00:00.000 GMT+0800,1.15891,1.15936,1.15809,1.15895,4778.14
14.10.2021 03:00:00.000 GMT+0800,1.15896,1.15972,1.15873,1.15937,1411.22
14.10.2021 04:00:00.000 GMT+0800,1.15935,1.15964,1.15913,1.15939,1264.06
14.10.2021 05:00:00.000 GMT+0800,1.15907,1.15983,1.15879,1.15981,1316.32
14.10.2021 06:00:00.000 GMT+0800,1.1598,1.15994,1.15964,1.15973,483.5
14.10.2021 07:00:00.000 GMT+0800,1.15973,1.15983,1.15944,1.15968,702.46
14.10.2021 08:00:00.000 GMT+0800,1.15966,1.16009,1.1596,1.15987,1841.54
14.10.2021 09:00:00.000 GMT+0800,1.15988,1.16005,1.15894,1.15896,2747.67
14.10.2021 10:00:00.000 GMT+0800,1.15897,1.15959,1.15886,1.15949,1678.68
14.10.2021 11:00:00.000 GMT+0800,1.15949,1.15959,1.15916,1.15938,1661.96
14.10.2021 12:00:00.000 GMT+0800,1.15938,1.15952,1.15893,1.15898,1262.27
14.10.2021 13:00:00.000 GMT+0800,1.15897,1.15934,1.15875,1.1589,2361.6
14.10.2021 14:00:00.000 GMT+0800,1.15892,1.16019,1.15888,1.16017,5491.97
14.10.2021 15:00:00.000 GMT+0800,1.16017,1.16116,1.16004,1.16075,5711.1
14.10.2021 16:00:00.000 GMT+0800,1.16076,1.16187,1.16066,1.1616,6567.04
14.10.2021 17:00:00.000 GMT+0800,1.1616,1.16242,1.16091,1.16108,7025.7
14.10.2021 18:00:00.000 GMT+0800,1.16108,1.16125,1.1603,1.16104,4568.5
14.10.2021 19:00:00.000 GMT+0800,1.16103,1.16153,1.16031,1.16031,6753.74
14.10.2021 20:00:00.000 GMT+0800,1.16035,1.16083,1.15977,1.16062,7676.31
14.10.2021 21:00:00.000 GMT+0800,1.16062,1.16067,1.15914,1.15966,8432.35
14.10.2021 22:00:00.000 GMT+0800,1.15966,1.15984,1.15859,1.15895,7393.29
14.10.2021 23:00:00.000 GMT+0800,1.15895,1.15919,1.15839,1.15905,5704.61
15.10.2021 00:00:00.000 GMT+0800,1.15905,1.15946,1.15846,1.15881,4275.66
15.10.2021 01:00:00.000 GMT+0800,1.1588,1.15918,1.15844,1.15906,2422.55
15.10.2021 02:00:00.000 GMT+0800,1.15905,1.1599,1.15895,1.1599,2511.52
15.10.2021 03:00:00.000 GMT+0800,1.15989,1.16021,1.15957,1.15972,2965.13
15.10.2021 04:00:00.000 GMT+0800,1.15971,1.15991,1.15951,1.15953,1137.61
15.10.2021 05:00:00.000 GMT+0800,1.15953,1.15989,1.15951,1.15978,352.76
15.10.2021 06:00:00.000 GMT+0800,1.15978,1.15989,1.15957,1.15975,1544.45
15.10.2021 07:00:00.000 GMT+0800,1.15974,1.15987,1.15899,1.15903,2132
15.10.2021 08:00:00.000 GMT+0800,1.15903,1.15946,1.15881,1.15937,3275.03
15.10.2021 09:00:00.000 GMT+0800,1.15937,1.16015,1.15935,1.15997,3466.37
15.10.2021 10:00:00.000 GMT+0800,1.15997,1.16091,1.15971,1.1609,3651.28
15.10.2021 11:00:00.000 GMT+0800,1.16089,1.16116,1.16075,1.16079,2100.73
15.10.2021 12:00:00.000 GMT+0800,1.16079,1.16099,1.16069,1.16079,2389.98
15.10.2021 13:00:00.000 GMT+0800,1.16078,1.16086,1.16041,1.16052,4527.96
15.10.2021 14:00:00.000 GMT+0800,1.16052,1.16145,1.16041,1.16143,8177.42
15.10.2021 15:00:00.000 GMT+0800,1.16142,1.1615,1.16071,1.16119,6402.06
15.10.2021 16:00:00.000 GMT+0800,1.16118,1.16185,1.15993,1.16031,8351.41
15.10.2021 17:00:00.000 GMT+0800,1.1603,1.16074,1.15987,1.16032,7202.24
15.10.2021 18:00:00.000 GMT+0800,1.16032,1.16122,1.1601,1.16099,7654.83
15.10.2021 19:00:00.000 GMT+0800,1.16098,1.16106,1.15995,1.16029,2934.83
15.10.2021 20:00:00.000 GMT+0800,1.16031,1.16042,1.15887,1.1592,6143.67
15.10.2021 21:00:00.000 GMT+0800,1.15922,1.16047,1.15921,1.15935,5924.96
15.10.2021 22:00:00.000 GMT+0800,1.15935,1.16101,1.1589,1.16056,5965.53
15.10.2021 23:00:00.000 GMT+0800,1.16056,1.16089,1.15932,1.15932,4304.11
16.10.2021 00:00:00.000 GMT+0800,1.15933,1.15966,1.1591,1.1595,2235.51
16.10.2021 01:00:00.000 GMT+0800,1.15949,1.15997,1.1593,1.15962,1335.69
16.10.2021 02:00:00.000 GMT+0800,1.15962,1.16057,1.15941,1.16056,1820.59
16.10.2021 03:00:00.000 GMT+0800,1.16053,1.16057,1.15998,1.1603,1416.33
16.10.2021 04:00:00.000 GMT+0800,1.16032,1.16055,1.15972,1.15983,1634.96
16.10.2021 05:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 06:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 07:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 08:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 09:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 10:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 11:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 12:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 13:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 14:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 15:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 16:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 17:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 18:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 19:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 20:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 21:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 22:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 23:00:00.000 GMT+0800,1.15983,1.15983,1.15983,1.15983,0
